classifier,scaling,mean_test_score
SVC,StandardScaler,0.903183350559779
SVC,MinMaxScaler,0.8727181399302569
SVC,Normalizer,0.7830390348038601
SVC,RobustScaler,0.8993003970132243
RandomForestClassifier,StandardScaler,0.8986754151251413
RandomForestClassifier,MinMaxScaler,0.8999186171189011
RandomForestClassifier,Normalizer,0.825622566965795
RandomForestClassifier,RobustScaler,0.8997623716468803
